Country,X,Y,Z,population,land_area,density
Afghanistan,42647492,652860,65,42647492,652860,65
Albania,2791765,27400,102,2791765,27400,102
Algeria,46814308,2381740,20,46814308,2381740,20
Andorra,81938,470,174,81938,470,174
Angola,37885849,1246700,30,37885849,1246700,30
Antigua and Barbuda,93772,440,213,93772,440,213
Argentina,45696159,2736690,17,45696159,2736690,17
Armenia,2973840,28470,104,2973840,28470,104
Australia,26713205,7682300,3,26713205,7682300,3
Austria,9120813,82409,111,9120813,82409,111
Azerbaijan,10336577,82658,125,10336577,82658,125
Bahamas,401283,10010,40,401283,10010,40
Bahrain,1607049,760,2115,1607049,760,2115
Bangladesh,173562364,130170,1333,173562364,130170,1333
Barbados,282467,430,657,282467,430,657
Belarus,9056696,202910,45,9056696,202910,45
Belgium,11738763,30280,388,11738763,30280,388
Belize,417072,22810,18,417072,22810,18
Benin,14462724,112760,128,14462724,112760,128
Bhutan,791524,38117,21,791524,38117,21
Bolivia,12413315,1083300,11,12413315,1083300,11
Bosnia and Herzegovina,3164253,51000,62,3164253,51000,62
Botswana,2521139,566730,4,2521139,566730,4
Brazil,211998573,8358140,25,211998573,8358140,25
Brunei,462721,5270,88,462721,5270,88
Bulgaria,6757689,108560,62,6757689,108560,62
Burkina Faso,23548781,273600,86,23548781,273600,86
Burundi,14047786,25680,547,14047786,25680,547
Côte d'Ivoire,31934230,318000,100,31934230,318000,100
Cabo Verde,524877,4030,130,524877,4030,130
Cambodia,17638801,176520,100,17638801,176520,100
Cameroon,29123744,472710,62,29123744,472710,62
Canada,39742430,9093510,4,39742430,9093510,4
Central African Republic,5330690,622980,9,5330690,622980,9
Chad,20299123,1259200,16,20299123,1259200,16
Chile,19764771,743532,27,19764771,743532,27
China,1419321278,9388211,151,1419321278,9388211,151
Colombia,52886363,1109500,48,52886363,1109500,48
Comoros,866628,1861,466,866628,1861,466
Congo (Congo-Brazzaville),6332961,341500,19,6332961,341500,19
Costa Rica,5129910,51060,100,5129910,51060,100
Croatia,3875325,55960,69,3875325,55960,69
Cuba,10979783,106440,103,10979783,106440,103
Cyprus,1358282,9240,147,1358282,9240,147
Czechia (Czech Republic),10735859,77240,139,10735859,77240,139
Democratic Republic of the Congo,109276265,2267050,48,109276265,2267050,48
Denmark,5977412,42430,141,5977412,42430,141
Djibouti,1168722,23180,50,1168722,23180,50
Dominica,66205,750,88,66205,750,88
Dominican Republic,11427557,48320,236,11427557,48320,236
Ecuador,18135478,248360,73,18135478,248360,73
Egypt,116538258,995450,117,116538258,995450,117
El Salvador,6338193,20720,306,6338193,20720,306
Equatorial Guinea,1892516,28050,67,1892516,28050,67
